,Serial Num,Day,Month,hr,holiday,weekday,Weather info,Temprature,Celsius,Humidity,windspeed,casual,registered,Count
37,38,2011-01-02,1,14,False,0,3,0.36,,0.76,0.194,4,55,59
38,39,2011-01-02,1,15,False,0,3,0.34,0.3333,0.81,0.1642,19,55,74
39,40,2011-01-02,1,16,False,0,3,0.34,0.3333,0.71,0.1642,9,67,76
40,41,2011-01-02,1,17,False,0,1,0.34,0.3333,0.57,0.194,7,58,65
41,42,2011-01-02,1,18,False,0,2,0.36,0.3333,0.46,0.3284,10,43,53
42,43,2011-01-02,1,19,False,0,1,0.32,0.2879,0.42,0.4478,1,29,30
43,44,2011-01-02,1,20,False,0,1,0.3,,0.39,0.3582,5,17,22
44,45,2011-01-02,1,21,False,0,1,0.26,0.2273,0.44,0.3284,11,20,31
45,46,2011-01-02,1,22,False,0,1,0.24,0.2121,0.44,0.2985,0,9,9
46,47,2011-01-02,1,23,False,0,1,0.22,0.2273,0.47,0.1642,0,8,8
47,48,2011-01-03,1,0,False,1,1,0.22,0.197,0.44,0.3582,0,5,5
48,49,2011-01-03,1,1,False,1,1,0.2,,0.44,0.4179,0,2,2
49,50,2011-01-03,1,4,False,1,1,0.16,0.1364,0.47,0.3881,0,1,1
50,51,2011-01-03,1,5,False,1,1,0.16,0.1364,0.47,0.2836,0,3,3
51,52,2011-01-03,1,6,False,1,1,0.14,0.1061,0.5,0.3881,0,30,30
52,53,2011-01-03,1,7,False,1,1,0.14,0.1364,0.5,0.194,1,63,64
53,54,2011-01-03,1,8,False,1,1,0.14,0.1212,0.5,0.2836,1,153,154
54,55,2011-01-03,1,9,False,1,1,0.16,0.1364,0.43,0.3881,7,81,88
55,56,2011-01-03,1,10,False,1,1,0.18,0.1667,0.43,0.2537,11,33,44
56,57,2011-01-03,1,11,False,1,1,0.2,0.1818,0.4,0.3284,10,41,51
57,58,2011-01-03,1,12,False,1,1,0.22,0.2121,0.35,0.2985,13,48,61
58,59,2011-01-03,1,13,False,1,1,0.24,,0.35,0.2836,8,53,61
59,60,2011-01-03,1,14,False,1,1,0.26,0.2424,0.3,0.2836,11,66,77
60,61,2011-01-03,1,15,False,1,1,0.26,0.2424,0.3,0.2537,14,58,72
61,62,2011-01-03,1,16,False,1,1,0.26,0.2424,0.3,0.2537,9,67,76
62,63,2011-01-03,1,17,False,1,1,0.24,0.2273,0.3,0.2239,11,146,157
63,64,2011-01-03,1,18,False,1,1,0.24,0.2576,0.32,0.1045,9,148,157
64,65,2011-01-03,1,19,False,1,1,0.2,0.2576,0.47,0.0,8,102,110
65,66,2011-01-03,1,20,False,1,1,0.2,,0.47,0.1045,3,49,52
66,67,2011-01-03,1,21,False,1,1,0.18,0.197,0.64,0.1343,3,49,52
67,68,2011-01-03,1,22,False,1,1,0.14,0.1515,0.69,0.1343,0,20,20
68,69,2011-01-03,1,23,False,1,1,0.18,0.2121,0.55,0.1045,1,11,12
69,70,2011-01-04,1,0,False,2,1,0.16,,0.55,0.1045,0,5,5
70,71,2011-01-04,1,1,False,2,1,0.16,0.1818,0.59,0.1045,0,2,2
71,72,2011-01-04,1,2,False,2,1,0.14,0.1515,0.63,0.1343,0,1,1
72,73,2011-01-04,1,4,False,2,1,0.14,0.1818,0.63,0.0896,0,2,2
73,74,2011-01-04,1,5,False,2,1,0.12,0.1515,0.68,0.1045,0,4,4
74,75,2011-01-04,1,6,False,2,1,0.12,0.1515,0.74,0.1045,0,36,36
75,76,2011-01-04,1,7,False,2,1,0.12,0.1515,0.74,0.1343,2,92,94
76,77,2011-01-04,1,8,False,2,1,0.14,0.1515,0.69,0.1642,2,177,179
77,78,2011-01-04,1,9,False,2,1,0.16,0.1515,0.64,0.2239,2,98,100
78,79,2011-01-04,1,10,False,2,2,0.16,0.1364,0.69,0.3284,5,37,42
79,80,2011-01-04,1,11,False,2,1,0.22,0.2121,0.51,0.2985,7,50,57
80,81,2011-01-04,1,12,False,2,1,0.22,0.2273,0.51,0.1642,12,66,78
81,82,2011-01-04,1,13,False,2,1,0.24,0.2273,0.56,0.194,18,79,97
82,83,2011-01-04,1,14,False,2,1,0.26,0.2576,0.52,0.2239,9,54,63
83,84,2011-01-04,1,15,False,2,1,0.28,0.2727,0.52,0.2537,17,48,65
84,85,2011-01-04,1,16,False,2,1,0.3,0.2879,0.49,0.2537,15,68,83
85,86,2011-01-04,1,17,False,2,1,0.28,0.2727,0.48,0.2239,10,202,212
86,87,2011-01-04,1,18,False,2,1,0.26,0.2576,0.48,0.194,3,179,182
87,88,2011-01-04,1,19,False,2,1,0.24,0.2576,0.48,0.1045,2,110,112
88,89,2011-01-04,1,20,False,2,1,0.24,0.2576,0.48,0.1045,1,53,54
89,90,2011-01-04,1,21,False,2,1,0.22,0.2727,0.64,0.0,0,48,48
90,91,2011-01-04,1,22,False,2,1,0.22,0.2576,0.64,0.0896,1,34,35
91,92,2011-01-04,1,23,False,2,1,0.2,0.2273,0.69,0.0896,2,9,11
92,93,2011-01-05,1,0,False,3,1,0.2,0.2576,0.64,0.0,0,6,6
93,94,2011-01-05,1,1,False,3,1,0.16,0.197,0.74,0.0896,0,6,6
94,95,2011-01-05,1,2,False,3,1,0.16,0.197,0.74,0.0896,0,2,2
95,96,2011-01-05,1,4,False,3,1,0.24,0.2273,0.48,0.2239,0,2,2
96,97,2011-01-05,1,5,False,3,1,0.22,0.2273,0.47,0.1642,0,3,3
97,98,2011-01-05,1,6,False,3,1,0.2,0.197,0.47,0.2239,0,33,33
98,99,2011-01-05,1,7,False,3,1,0.18,0.1818,0.43,0.194,1,87,88
99,100,2011-01-05,1,8,False,3,1,0.2,0.1818,0.4,0.2985,3,192,195
100,101,2011-01-05,1,9,False,3,1,0.22,0.197,0.37,0.3284,6,109,115
101,102,2011-01-05,1,10,False,3,1,0.22,0.197,0.37,0.3284,4,53,57
102,103,2011-01-05,1,11,False,3,1,0.26,0.2273,0.33,0.3284,12,34,46
103,104,2011-01-05,1,12,False,3,1,0.26,0.2273,0.33,0.3284,5,74,79
104,105,2011-01-05,1,13,False,3,1,0.28,0.2576,0.3,0.2985,6,65,71
105,106,2011-01-05,1,14,False,3,1,0.3,0.2879,0.28,0.194,10,52,62
106,107,2011-01-05,1,15,False,3,1,0.3,0.2879,0.28,0.194,7,55,62
107,108,2011-01-05,1,16,False,3,1,0.3,0.3182,0.28,0.0896,4,85,89
108,109,2011-01-05,1,17,False,3,1,0.24,0.2273,0.38,0.194,4,186,190
109,110,2011-01-05,1,18,False,3,1,0.24,0.2424,0.38,0.1343,3,166,169
110,111,2011-01-05,1,19,False,3,1,0.24,0.2576,0.38,0.1045,5,127,132
111,112,2011-01-05,1,20,False,3,1,0.22,0.2273,0.47,0.1642,7,82,89
112,113,2011-01-05,1,21,False,3,1,0.2,0.197,0.51,0.194,3,40,43
113,114,2011-01-05,1,22,False,3,1,0.18,0.197,0.55,0.1343,1,41,42
114,115,2011-01-05,1,23,False,3,1,0.2,0.2576,0.47,0.0,1,18,19
115,116,2011-01-06,1,0,False,4,1,0.18,0.2424,0.55,0.0,0,11,11
116,117,2011-01-06,1,1,False,4,1,0.16,0.2273,0.64,0.0,0,4,4
117,118,2011-01-06,1,2,False,4,1,0.16,0.2273,0.64,0.0,0,2,2
118,119,2011-01-06,1,4,False,4,2,0.16,0.197,0.64,0.0896,0,1,1
119,120,2011-01-06,1,5,False,4,2,0.14,0.1818,0.69,0.0896,0,4,4
120,121,2011-01-06,1,6,False,4,2,0.14,0.1667,0.63,0.1045,0,36,36
121,122,2011-01-06,1,7,False,4,2,0.16,0.2273,0.59,0.0,0,95,95
122,123,2011-01-06,1,8,False,4,1,0.16,0.2273,0.59,0.0,3,216,219
123,124,2011-01-06,1,9,False,4,2,0.18,0.2424,0.51,0.0,6,116,122
124,125,2011-01-06,1,10,False,4,1,0.2,0.2576,0.47,0.0,3,42,45
125,126,2011-01-06,1,11,False,4,1,0.22,0.2576,0.44,0.0896,2,57,59
126,127,2011-01-06,1,12,False,4,1,0.26,0.2879,0.35,0.0,6,78,84
127,128,2011-01-06,1,13,False,4,1,0.26,0.2727,0.35,0.1045,12,55,67
128,129,2011-01-06,1,14,False,4,1,0.28,0.2727,0.36,0.1642,11,59,70
129,130,2011-01-06,1,15,False,4,1,0.28,0.2727,0.36,0.0,8,54,62
130,131,2011-01-06,1,16,False,4,1,0.26,0.2576,0.38,0.1642,12,74,86
131,132,2011-01-06,1,17,False,4,1,0.22,0.2273,0.51,0.1642,9,163,172
132,133,2011-01-06,1,18,False,4,1,0.22,0.2273,0.51,0.1343,5,158,163
133,134,2011-01-06,1,19,False,4,1,0.22,0.2576,0.55,0.0896,3,109,112
134,135,2011-01-06,1,20,False,4,1,0.2,0.2121,0.51,0.1642,3,66,69
135,136,2011-01-06,1,21,False,4,2,0.22,0.2121,0.55,0.2239,0,48,48
136,137,2011-01-06,1,22,False,4,2,0.22,0.2121,0.51,0.2836,1,51,52
137,138,2011-01-06,1,23,False,4,2,0.2,0.197,0.59,0.194,4,19,23
138,139,2011-01-07,1,0,False,5,2,0.2,0.197,0.64,0.194,4,13,17
139,140,2011-01-07,1,1,False,5,2,0.2,0.197,0.69,0.2239,2,5,7
140,141,2011-01-07,1,2,False,5,2,0.2,0.197,0.69,0.2239,0,1,1
141,142,2011-01-07,1,4,False,5,2,0.2,0.2121,0.69,0.1343,0,1,1
142,143,2011-01-07,1,5,False,5,3,0.22,0.2727,0.55,0.0,0,5,5
143,144,2011-01-07,1,6,False,5,2,0.2,0.2576,0.69,0.0,8,26,34
144,145,2011-01-07,1,7,False,5,1,0.2,0.2121,0.69,0.1343,8,76,84
145,146,2011-01-07,1,8,False,5,1,0.2,0.197,0.51,0.2537,20,190,210
146,147,2011-01-07,1,9,False,5,1,0.2,0.1818,0.47,0.2985,9,125,134
147,148,2011-01-07,1,10,False,5,1,0.22,0.197,0.37,0.3284,16,47,63
148,149,2011-01-07,1,11,False,5,2,0.2,0.197,0.4,0.2239,19,48,67
149,150,2011-01-07,1,12,False,5,2,0.2,0.197,0.37,0.2537,9,50,59
150,151,2011-01-07,1,13,False,5,2,0.2,0.1818,0.37,0.2836,9,64,73
151,152,2011-01-07,1,14,False,5,2,0.2,0.197,0.4,0.2537,7,43,50
152,153,2011-01-07,1,15,False,5,2,0.2,0.2121,0.37,0.1642,9,63,72
153,154,2011-01-07,1,16,False,5,2,0.2,0.2121,0.37,0.1642,5,82,87
154,155,2011-01-07,1,17,False,5,2,0.2,0.2576,0.37,0.0,9,178,187
155,156,2011-01-07,1,18,False,5,1,0.2,0.2273,0.4,0.0896,7,116,123
156,157,2011-01-07,1,19,False,5,1,0.16,0.197,0.55,0.0896,3,92,95
157,158,2011-01-07,1,20,False,5,1,0.18,0.2121,0.47,0.1045,1,50,51
158,159,2011-01-07,1,21,False,5,1,0.18,0.197,0.47,0.1343,0,39,39
159,160,2011-01-07,1,22,False,5,2,0.18,0.197,0.43,0.1642,2,34,36
160,161,2011-01-07,1,23,False,5,2,0.18,0.197,0.51,0.1642,1,14,15
161,162,2011-01-08,1,0,False,6,2,0.18,0.197,0.51,0.1642,1,24,25
162,163,2011-01-08,1,1,False,6,2,0.18,0.2121,0.55,0.0896,1,15,16
163,164,2011-01-08,1,2,False,6,2,0.18,0.2424,0.55,0.0,3,13,16
164,165,2011-01-08,1,3,False,6,3,0.18,0.197,0.55,0.1642,0,7,7
165,166,2011-01-08,1,4,False,6,3,0.18,0.197,0.55,0.1642,0,1,1
166,167,2011-01-08,1,5,False,6,2,0.16,0.1667,0.74,0.1642,0,5,5
167,168,2011-01-08,1,6,False,6,2,0.16,0.1667,0.74,0.1642,0,2,2
168,169,2011-01-08,1,7,False,6,2,0.16,0.1818,0.74,0.1045,1,8,9
169,170,2011-01-08,1,8,False,6,3,0.16,0.1818,0.93,0.1045,0,15,15
170,171,2011-01-08,1,9,False,6,3,0.16,0.1818,0.93,0.1045,0,20,20
171,172,2011-01-08,1,10,False,6,2,0.18,0.197,0.8,0.1642,5,56,61
172,173,2011-01-08,1,11,False,6,2,0.2,0.1818,0.69,0.3881,2,60,62
173,174,2011-01-08,1,12,False,6,2,0.2,0.1818,0.59,0.3582,8,90,98
174,175,2011-01-08,1,13,False,6,1,0.2,0.1818,0.44,0.3284,7,95,102
175,176,2011-01-08,1,14,False,6,1,0.2,0.1667,0.32,0.4925,12,83,95
176,177,2011-01-08,1,15,False,6,1,0.2,0.1667,0.32,0.4478,5,69,74
177,178,2011-01-08,1,16,False,6,1,0.18,0.1364,0.29,0.4478,8,68,76
178,179,2011-01-08,1,17,False,6,1,0.16,0.1212,0.37,0.5522,5,64,69
179,180,2011-01-08,1,18,False,6,1,0.14,0.1212,0.39,0.2985,3,52,55
180,181,2011-01-08,1,19,False,6,1,0.14,0.1212,0.36,0.2537,4,26,30
181,182,2011-01-08,1,20,False,6,1,0.12,0.1212,0.36,0.2537,0,28,28
182,183,2011-01-08,1,21,False,6,1,0.12,0.1061,0.39,0.3582,2,35,37
183,184,2011-01-08,1,22,False,6,1,0.12,0.1061,0.36,0.3881,1,33,34
184,185,2011-01-08,1,23,False,6,1,0.1,0.0606,0.39,0.4478,0,22,22
185,186,2011-01-09,1,0,False,0,1,0.1,0.0758,0.42,0.3881,1,24,25
186,187,2011-01-09,1,1,False,0,1,0.1,0.0606,0.42,0.4627,0,12,12
187,188,2011-01-09,1,2,False,0,1,0.1,0.0606,0.46,0.4627,0,11,11
188,189,2011-01-09,1,3,False,0,1,0.1,0.0758,0.46,0.4179,0,4,4
189,190,2011-01-09,1,4,False,0,1,0.08,0.0909,0.53,0.194,0,1,1
190,191,2011-01-09,1,5,False,0,1,0.08,0.0909,0.53,0.194,0,1,1
191,192,2011-01-09,1,6,False,0,1,0.1,0.0909,0.49,0.2836,0,1,1
192,193,2011-01-09,1,7,False,0,1,0.08,0.0909,0.53,0.194,1,5,6
193,194,2011-01-09,1,8,False,0,1,0.1,0.0909,0.49,0.2836,0,10,10
194,195,2011-01-09,1,9,False,0,1,0.12,0.0758,0.46,0.5224,0,19,19
195,196,2011-01-09,1,10,False,0,1,0.14,0.1061,0.43,0.3881,0,49,49
196,197,2011-01-09,1,11,False,0,1,0.16,0.1212,0.4,0.5224,2,47,49
197,198,2011-01-09,1,12,False,0,1,0.18,0.1364,0.37,0.4478,4,79,83
198,199,2011-01-09,1,13,False,0,1,0.2,0.1667,0.34,0.4478,6,69,75
199,200,2011-01-09,1,14,False,0,1,0.22,0.1818,0.32,0.4627,8,64,72
200,201,2011-01-09,1,15,False,0,1,0.22,0.197,0.35,0.3582,5,77,82
201,202,2011-01-09,1,16,False,0,1,0.2,0.1667,0.34,0.4478,13,79,92
202,203,2011-01-09,1,17,False,0,1,0.18,0.1515,0.37,0.3881,3,59,62
203,204,2011-01-09,1,18,False,0,1,0.16,0.1364,0.4,0.3284,4,44,48
204,205,2011-01-09,1,19,False,0,1,0.16,0.1364,0.43,0.3284,1,40,41
205,206,2011-01-09,1,20,False,0,1,0.14,0.1212,0.46,0.2537,0,38,38
206,207,2011-01-09,1,21,False,0,1,0.14,0.1061,0.46,0.4179,1,19,20
207,208,2011-01-09,1,22,False,0,1,0.14,0.1212,0.46,0.2985,5,10,15
208,209,2011-01-09,1,23,False,0,1,0.12,0.1364,0.5,0.194,0,6,6
209,210,2011-01-10,1,0,False,1,1,0.12,0.1212,0.5,0.2836,2,3,5
210,211,2011-01-10,1,1,False,1,1,0.12,0.1212,0.5,0.2836,1,0,1
211,212,2011-01-10,1,2,False,1,1,0.12,0.1212,0.5,0.2239,0,3,3
212,213,2011-01-10,1,3,False,1,1,0.12,0.1212,0.5,0.2239,0,1,1
213,214,2011-01-10,1,4,False,1,1,0.1,0.1212,0.54,0.1343,1,2,3
214,215,2011-01-10,1,5,False,1,1,0.1,0.1061,0.54,0.2537,0,3,3
215,216,2011-01-10,1,6,False,1,1,0.12,0.1212,0.5,0.2836,0,31,31
216,217,2011-01-10,1,7,False,1,1,0.12,0.1212,0.5,0.2239,2,75,77
217,218,2011-01-10,1,8,False,1,2,0.12,0.1212,0.5,0.2836,4,184,188
218,219,2011-01-10,1,9,False,1,2,0.14,0.1212,0.5,0.2537,2,92,94
219,220,2011-01-10,1,10,False,1,2,0.14,0.1212,0.5,0.2985,0,31,31
220,221,2011-01-10,1,11,False,1,2,0.16,0.1364,0.47,0.2836,2,28,30
221,222,2011-01-10,1,12,False,1,2,0.2,0.1818,0.4,0.2836,5,47,52
222,223,2011-01-10,1,13,False,1,2,0.2,0.1818,0.4,0.2836,4,50,54
223,224,2011-01-10,1,14,False,1,2,0.2,0.197,0.4,0.2239,0,47,47
224,225,2011-01-10,1,15,False,1,2,0.2,0.197,0.4,0.2239,2,43,45
225,226,2011-01-10,1,16,False,1,1,0.2,0.2121,0.4,0.1343,4,70,74
226,227,2011-01-10,1,17,False,1,1,0.2,0.2273,0.4,0.1045,4,174,178
227,228,2011-01-10,1,18,False,1,1,0.2,0.197,0.4,0.2239,1,154,155
228,229,2011-01-10,1,19,False,1,1,0.16,0.1667,0.47,0.1642,3,92,95
229,230,2011-01-10,1,20,False,1,1,0.16,0.1667,0.5,0.1642,1,73,74
230,231,2011-01-10,1,21,False,1,1,0.14,0.1364,0.59,0.194,1,37,38
231,232,2011-01-10,1,22,False,1,1,0.14,0.1515,0.59,0.1642,2,22,24
232,233,2011-01-10,1,23,False,1,1,0.14,0.1515,0.59,0.1642,0,18,18
233,234,2011-01-11,1,0,False,2,1,0.14,0.1667,0.59,0.1045,2,10,12
234,235,2011-01-11,1,1,False,2,1,0.14,0.1515,0.59,0.1642,0,3,3
235,236,2011-01-11,1,2,False,2,2,0.16,0.1515,0.55,0.194,0,3,3
236,237,2011-01-11,1,5,False,2,2,0.16,0.1818,0.55,0.1343,0,6,6
237,238,2011-01-11,1,6,False,2,2,0.16,0.1818,0.55,0.1343,0,27,27
238,239,2011-01-11,1,7,False,2,2,0.16,0.2273,0.55,0.0,2,97,99
239,240,2011-01-11,1,8,False,2,2,0.18,0.2121,0.51,0.0896,3,214,217
240,241,2011-01-11,1,9,False,2,2,0.18,0.197,0.51,0.1642,3,127,130
241,242,2011-01-11,1,10,False,2,2,0.2,0.2121,0.51,0.1642,3,51,54
242,243,2011-01-11,1,11,False,2,2,0.2,0.2121,0.47,0.1343,4,31,35
243,244,2011-01-11,1,12,False,2,2,0.2,0.2273,0.51,0.1045,2,55,57
244,245,2011-01-11,1,13,False,2,2,0.2,0.2273,0.59,0.0896,6,46,52
245,246,2011-01-11,1,14,False,2,2,0.2,0.2273,0.59,0.0896,3,60,63
246,247,2011-01-11,1,15,False,2,2,0.16,0.197,0.8,0.0896,2,45,47
247,248,2011-01-11,1,16,False,2,2,0.16,0.1515,0.86,0.2239,4,72,76
248,249,2011-01-11,1,17,False,2,2,0.16,0.1515,0.86,0.2239,6,130,136
249,250,2011-01-11,1,18,False,2,3,0.16,0.1818,0.93,0.1045,1,94,95
250,251,2011-01-11,1,19,False,2,3,0.16,0.2273,0.93,0.0,0,51,51
251,252,2011-01-11,1,20,False,2,3,0.16,0.1515,0.93,0.194,0,32,32
252,253,2011-01-11,1,21,False,2,3,0.16,0.197,0.86,0.0896,0,20,20
253,254,2011-01-11,1,22,False,2,3,0.16,0.1818,0.93,0.1045,1,28,29
254,255,2011-01-11,1,23,False,2,3,0.16,0.197,0.93,0.0896,1,18,19
255,256,2011-01-12,1,0,False,3,2,0.16,0.197,0.86,0.0896,0,7,7
256,257,2011-01-12,1,1,False,3,2,0.16,0.1818,0.86,0.1045,0,6,6
257,258,2011-01-12,1,2,False,3,1,0.14,0.1515,0.86,0.1343,0,1,1
258,259,2011-01-12,1,5,False,3,1,0.14,0.1515,0.86,0.1642,0,5,5
259,260,2011-01-12,1,6,False,3,1,0.12,0.1515,0.93,0.1343,0,16,16
260,261,2011-01-12,1,7,False,3,1,0.14,0.1515,0.69,0.1343,0,54,54
261,262,2011-01-12,1,8,False,3,1,0.16,0.1667,0.59,0.1642,3,125,128
262,263,2011-01-12,1,9,False,3,1,0.16,0.1364,0.59,0.3284,3,78,81
263,264,2011-01-12,1,10,False,3,1,0.18,0.1818,0.55,0.2239,0,39,39
264,265,2011-01-12,1,11,False,3,1,0.2,0.1818,0.51,0.3881,3,32,35
265,266,2011-01-12,1,12,False,3,1,0.2,0.1515,0.47,0.5821,3,52,55
266,267,2011-01-12,1,13,False,3,1,0.22,0.197,0.44,0.3582,0,49,49
267,268,2011-01-12,1,14,False,3,1,0.2,0.1818,0.47,0.3284,0,44,44
268,269,2011-01-12,1,15,False,3,1,0.2,0.1667,0.47,0.4179,1,48,49
269,270,2011-01-12,1,16,False,3,1,0.22,0.197,0.44,0.3284,5,63,68
270,271,2011-01-12,1,17,False,3,1,0.2,0.1818,0.47,0.3582,0,139,139
271,272,2011-01-12,1,18,False,3,1,0.2,0.1515,0.47,0.5224,2,135,137
272,273,2011-01-12,1,19,False,3,1,0.18,0.1515,0.47,0.4179,1,82,83
273,274,2011-01-12,1,20,False,3,1,0.16,0.1364,0.5,0.3284,2,54,56
274,275,2011-01-12,1,21,False,3,1,0.16,0.1364,0.55,0.3284,0,57,57
275,276,2011-01-12,1,22,False,3,1,0.16,0.1212,0.55,0.4478,1,32,33
276,277,2011-01-12,1,23,False,3,1,0.14,0.1061,0.59,0.4179,1,19,20
277,278,2011-01-13,1,0,False,4,1,0.14,0.1212,0.59,0.2836,1,6,7
278,279,2011-01-13,1,1,False,4,1,0.14,0.1212,0.5,0.2836,0,2,2
279,280,2011-01-13,1,2,False,4,1,0.14,0.1212,0.5,0.3582,0,2,2
280,281,2011-01-13,1,3,False,4,1,0.14,0.1212,0.5,0.3284,0,3,3
281,282,2011-01-13,1,4,False,4,1,0.14,0.1212,0.5,0.2537,0,4,4
282,283,2011-01-13,1,5,False,4,1,0.14,0.1212,0.5,0.2985,0,3,3
283,284,2011-01-13,1,6,False,4,1,0.12,0.1515,0.54,0.1343,0,28,28
284,285,2011-01-13,1,7,False,4,1,0.12,0.1515,0.54,0.1343,0,72,72
285,286,2011-01-13,1,8,False,4,1,0.14,0.1364,0.5,0.194,5,197,202
286,287,2011-01-13,1,9,False,4,1,0.14,0.1212,0.5,0.3284,2,137,139
287,288,2011-01-13,1,10,False,4,2,0.16,0.1364,0.5,0.3582,2,36,38
288,289,2011-01-13,1,11,False,4,2,0.2,0.1667,0.44,0.4478,4,33,37
289,290,2011-01-13,1,12,False,4,1,0.2,0.1667,0.44,0.4179,3,49,52
290,291,2011-01-13,1,13,False,4,1,0.22,0.197,0.41,0.4478,2,81,83
291,292,2011-01-13,1,14,False,4,1,0.22,0.197,0.41,0.3881,3,39,42
292,293,2011-01-13,1,15,False,4,1,0.24,0.2121,0.38,0.2985,5,55,60
293,294,2011-01-13,1,16,False,4,1,0.24,0.2121,0.38,0.3582,2,76,78
294,295,2011-01-13,1,17,False,4,1,0.2,0.1818,0.4,0.2836,4,158,162
295,296,2011-01-13,1,18,False,4,1,0.2,0.1818,0.4,0.3284,3,141,144
296,297,2011-01-13,1,19,False,4,1,0.16,0.1515,0.47,0.2537,1,98,99
297,298,2011-01-13,1,20,False,4,1,0.16,0.1515,0.47,0.2239,0,64,64
298,299,2011-01-13,1,21,False,4,1,0.14,0.1212,0.46,0.2985,0,40,40
299,300,2011-01-13,1,22,False,4,1,0.14,0.1212,0.46,0.3284,0,30,30
300,301,2011-01-13,1,23,False,4,1,0.12,0.1364,0.5,0.194,1,14,15
301,302,2011-01-14,1,0,False,5,1,0.12,0.1364,0.5,0.194,0,14,14
302,303,2011-01-14,1,1,False,5,1,0.1,0.1212,0.54,0.1642,0,5,5
303,304,2011-01-14,1,2,False,5,1,0.1,0.1212,0.54,0.1343,0,1,1
304,305,2011-01-14,1,3,False,5,1,0.1,0.1364,0.54,0.1045,0,1,1
305,306,2011-01-14,1,5,False,5,1,0.1,0.1364,0.54,0.0896,0,8,8
306,307,2011-01-14,1,6,False,5,1,0.1,0.1818,0.54,0.0,0,17,17
307,308,2011-01-14,1,7,False,5,1,0.1,0.1212,0.74,0.1642,0,70,70
308,309,2011-01-14,1,8,False,5,1,0.12,0.1667,0.68,0.0,2,156,158
309,310,2011-01-14,1,9,False,5,1,0.14,0.1515,0.69,0.1343,0,117,117
310,311,2011-01-14,1,10,False,5,1,0.18,0.1818,0.55,0.194,4,40,44
